,primary_title,rating
470,Machine Gun Preacher,27%
471,United Passions,0%
472,Grace of Monaco,9%
473,Space Pirate Captain Harlock,53%
474,Pitch Perfect 2,65%
475,Night School,28%
476,Logan Lucky,92%
477,Unhinged,25%
478,Straight Outta Compton,89%
479,Girls Trip,91%
480,A Bad Moms Christmas,31%
481,Safe Haven,13%
482,The Big Short,88%
483,Role Models,77%
484,Last Vegas,46%
485,Identity,62%
486,Serendipity,58%
487,30 Minutes or Less,45%
488,3 Days to Kill,28%
489,A Walk Among the Tombstones,68%
490,Brick Mansions,26%
491,American Ultra,43%
492,Pride and Prejudice and Zombies,45%
493,Anonymous,20%
494,Limitless,69%
495,Money Monster,59%
496,The Best of Me,12%
497,Original Sin,12%
498,The Raven,41%
499,The Fifth Estate,36%
500,Viy,80%
501,Accidental Love,9%
502,The Face of an Angel,37%
503,The Help,76%
504,Hidden Figures,93%
505,Ride Along,18%
506,Dear John,29%
507,Chocolat,62%
508,The Lucky One,20%
509,The Giver,35%
510,Million Dollar Arm,65%
511,Peppermint,67%
512,Good Luck Chuck,5%
513,Draft Day,59%
514,Rings,60%
515,Shark Night 3D,18%
516,The Counselor,33%
517,Mary Queen of Scots,62%
518,My Soul to Take,10%
519,Battle of the Sexes,85%
520,The 33,48%
521,The Conspirator,55%
522,Straw Dogs,83%
523,Possession,64%
524,Beautiful Boy,70%
525,Captive State,43%
526,Carnage,70%
527,Tulip Fever,10%
528,Legend,38%
529,Jane Got a Gun,43%
530,On the Road,44%
531,Love Ranch,13%
532,Ironclad,42%
533,The Professor and the Madman,41%
534,Reagan,82%
535,Think Like a Man Too,22%
536,Footloose,52%
537,Going in Style,82%
538,Hitman,15%
539,Piranha 3D,74%
540,Faster,53%
541,Green Book,78%
542,The Wedding Ringer,29%
543,Final Destination,35%
544,The Ides of March,84%
545,The Hate U Give,97%
546,Her,95%
547,Anywhere But Here,64%
548,Eddie the Eagle,82%
549,Braqueurs,40%
550,Redemption,83%
551,Rogue,100%
552,Nocturnal Animals,74%
553,The Water Diviner,61%
554,Son of God,21%
555,Delivery Man,39%
556,Homefront,43%
557,The Glass House,100%
558,The Transporter Refueled,16%
559,Out of the Furnace,54%
560,Just Getting Started,4%
561,Before I Go to Sleep,37%
562,Stone,50%
563,To Rome with Love,46%
564,Silver Linings Playbook,92%
565,Blockers,84%
566,Pet Sematary,51%
567,Death at a Funeral,62%
568,Tinker Tailor Soldier Spy,83%
569,The Beaver,62%
570,Bitter Harvest,61%
571,Molly,14%
572,Velvet Buzzsaw,61%
573,Pulse,11%
574,La La Land,91%
575,The Conjuring,86%
576,Wonder,85%
577,Jackass 3D,65%
578,Bad Moms,58%
579,Tammy,24%
580,Why Did I Get Married Too?,27%
581,12 Years a Slave,95%
582,Me Before You,54%
583,A Simple Favor,84%
584,Selma,99%
585,Acrimony,17%
586,Max,69%
587,The Star,29%
588,Vampires Suck,4%
589,The American,65%
590,Texas Chainsaw 3D,19%
591,Milk,93%
592,You Again,19%
593,On the Basis of Sex,73%
594,Endless Love,28%
595,Monte Carlo,40%
596,Rough Night,44%
597,Psycho,96%
598,Shorts,46%
599,Secret in Their Eyes,89%
600,Flatliners,48%
601,Paparazzi,18%
602,Lockout,25%
603,Burnt,28%
604,Triple 9,54%
605,The Light Between Oceans,61%
606,12 Rounds,30%
607,Let Me In,88%
608,Thank You for Your Service,67%
609,Battle of the Year,6%
610,Inherent Vice,74%
611,Machete Kills,29%
612,Chasing Mavericks,32%
613,A Most Violent Year,89%
614,A Dangerous Method,78%
615,Hands of Stone,45%
616,The Cold Light of Day,4%
617,Suspiria,66%
618,LBJ,58%
619,Equilibrium,41%
620,Middle Men,40%
621,All Good Things,35%
622,Regression,15%
623,Michiel de Ruyter,67%
624,Zambezia,25%
625,Survivor,25%
626,The History of Love,62%
627,Dwegons and Leprechauns,44%
628,Fight Valley,25%
629,Bird Box,63%
630,The Frozen Ground,61%
631,Bad Teacher,44%
632,Sausage Party,82%
633,Leap Year,57%
634,The Book Thief,47%
635,Take Me Home Tonight,28%
